0-10-4-4-2-6-3 [RHEA-Custom,OSLA,MCTS-Custom,SimplePlayer]
93988, 0/200, [TIE, LOSS, TIE, LOSS]
58367, 105/200, [TIE, LOSS, TIE, TIE]
58367, 106/200, [WIN, LOSS, LOSS, LOSS]
58367, 107/200, [TIE, LOSS, TIE, TIE]
58367, 108/200, [WIN, LOSS, LOSS, LOSS]
58367, 109/200, [TIE, LOSS, TIE, LOSS]
17546, 110/200, [TIE, LOSS, TIE, LOSS]
17546, 111/200, [LOSS, LOSS, WIN, LOSS]
17546, 112/200, [LOSS, LOSS, WIN, LOSS]
17546, 113/200, [TIE, LOSS, TIE, LOSS]
17546, 114/200, [TIE, LOSS, TIE, LOSS]
17546, 115/200, [TIE, LOSS, TIE, LOSS]
17546, 116/200, [TIE, LOSS, TIE, LOSS]
17546, 117/200, [TIE, LOSS, TIE, LOSS]
17546, 118/200, [TIE, LOSS, TIE, LOSS]
17546, 119/200, [WIN, LOSS, LOSS, LOSS]
75375, 120/200, [LOSS, LOSS, LOSS, WIN]
75375, 121/200, [TIE, LOSS, TIE, LOSS]
75375, 122/200, [LOSS, LOSS, TIE, TIE]
75375, 123/200, [TIE, LOSS, TIE, LOSS]
75375, 124/200, [LOSS, LOSS, WIN, LOSS]
75375, 125/200, [LOSS, LOSS, WIN, LOSS]
75375, 126/200, [TIE, LOSS, TIE, LOSS]
75375, 127/200, [LOSS, LOSS, WIN, LOSS]
75375, 128/200, [TIE, LOSS, TIE, LOSS]
75375, 129/200, [TIE, LOSS, TIE, LOSS]
75772, 130/200, [TIE, LOSS, TIE, LOSS]
75772, 131/200, [WIN, LOSS, LOSS, LOSS]
75772, 132/200, [WIN, LOSS, LOSS, LOSS]
75772, 133/200, [LOSS, LOSS, WIN, LOSS]
75772, 134/200, [TIE, LOSS, TIE, LOSS]
75772, 135/200, [WIN, LOSS, LOSS, LOSS]
75772, 136/200, [LOSS, LOSS, LOSS, WIN]
75772, 137/200, [LOSS, LOSS, LOSS, WIN]
75772, 138/200, [TIE, LOSS, TIE, LOSS]
75772, 139/200, [TIE, LOSS, TIE, LOSS]
58237, 140/200, [TIE, LOSS, TIE, LOSS]
58237, 141/200, [WIN, LOSS, LOSS, LOSS]
58237, 142/200, [WIN, LOSS, LOSS, LOSS]
58237, 143/200, [LOSS, LOSS, WIN, LOSS]
58237, 144/200, [TIE, LOSS, TIE, TIE]
58237, 145/200, [LOSS, LOSS, WIN, LOSS]
58237, 146/200, [LOSS, LOSS, TIE, TIE]
58237, 147/200, [WIN, LOSS, LOSS, LOSS]
58237, 148/200, [LOSS, LOSS, TIE, TIE]
58237, 149/200, [LOSS, LOSS, WIN, LOSS]
30464, 150/200, [TIE, LOSS, TIE, TIE]
30464, 151/200, [WIN, LOSS, LOSS, LOSS]
30464, 152/200, [LOSS, TIE, TIE, LOSS]
30464, 153/200, [LOSS, LOSS, WIN, LOSS]
30464, 154/200, [WIN, LOSS, LOSS, LOSS]
30464, 155/200, [TIE, LOSS, TIE, LOSS]
30464, 156/200, [TIE, LOSS, TIE, LOSS]
30464, 157/200, [TIE, LOSS, TIE, LOSS]
30464, 158/200, [TIE, LOSS, TIE, LOSS]
30464, 159/200, [TIE, LOSS, TIE, LOSS]
27180, 160/200, [TIE, LOSS, LOSS, TIE]
27180, 161/200, [LOSS, LOSS, WIN, LOSS]
27180, 162/200, [LOSS, LOSS, WIN, LOSS]
27180, 163/200, [WIN, LOSS, LOSS, LOSS]
27180, 164/200, [TIE, LOSS, TIE, LOSS]
27180, 165/200, [LOSS, LOSS, TIE, TIE]
27180, 166/200, [LOSS, LOSS, WIN, LOSS]
27180, 167/200, [TIE, LOSS, TIE, LOSS]
27180, 168/200, [WIN, LOSS, LOSS, LOSS]
27180, 169/200, [TIE, LOSS, TIE, TIE]
23643, 170/200, [LOSS, LOSS, WIN, LOSS]
23643, 171/200, [LOSS, LOSS, WIN, LOSS]
23643, 172/200, [WIN, LOSS, LOSS, LOSS]
23643, 173/200, [TIE, LOSS, TIE, LOSS]
23643, 174/200, [WIN, LOSS, LOSS, LOSS]
23643, 175/200, [TIE, LOSS, TIE, TIE]
23643, 176/200, [TIE, LOSS, TIE, LOSS]
23643, 177/200, [TIE, LOSS, TIE, LOSS]
23643, 178/200, [WIN, LOSS, LOSS, LOSS]
23643, 179/200, [WIN, LOSS, LOSS, LOSS]
67054, 180/200, [TIE, LOSS, TIE, LOSS]
67054, 181/200, [TIE, LOSS, TIE, TIE]
67054, 182/200, [TIE, LOSS, TIE, LOSS]
67054, 183/200, [TIE, LOSS, TIE, TIE]
67054, 184/200, [TIE, LOSS, TIE, LOSS]
67054, 185/200, [TIE, LOSS, TIE, LOSS]
67054, 186/200, [TIE, LOSS, TIE, LOSS]
67054, 187/200, [WIN, LOSS, LOSS, LOSS]
67054, 188/200, [LOSS, LOSS, WIN, LOSS]
67054, 189/200, [LOSS, LOSS, TIE, TIE]
19508, 190/200, [LOSS, LOSS, WIN, LOSS]
19508, 191/200, [TIE, LOSS, TIE, LOSS]
19508, 192/200, [TIE, LOSS, TIE, TIE]
19508, 193/200, [TIE, LOSS, TIE, TIE]
19508, 194/200, [TIE, LOSS, TIE, LOSS]
19508, 195/200, [TIE, LOSS, TIE, TIE]
19508, 196/200, [TIE, LOSS, TIE, LOSS]
19508, 197/200, [TIE, LOSS, TIE, LOSS]
19508, 198/200, [TIE, LOSS, TIE, LOSS]
19508, 199/200, [LOSS, LOSS, WIN, LOSS]
N 	Win 	Tie 	Loss 	Player
200	19.0%	57.0%	24.0%	players.rhea.RHEAPlayer
200	0.0%	2.0%	98.0%	players.OSLAPlayer
200	16.5%	59.0%	24.5%	players.mcts.MCTSPlayer
200	3.0%	17.0%	80.0%	players.SimplePlayer
