1-10-2-3-4-3-4 [SimplePlayer,RHEA-Custom,SimplePlayer,RHEA-Custom]
93988, 0/200, [LOSS, WIN, LOSS, WIN]
55636, 42/200, [TIE, TIE, TIE, TIE]
55636, 43/200, [LOSS, WIN, LOSS, WIN]
55636, 44/200, [LOSS, WIN, LOSS, WIN]
55636, 45/200, [WIN, LOSS, WIN, LOSS]
55636, 46/200, [LOSS, WIN, LOSS, WIN]
55636, 47/200, [WIN, LOSS, WIN, LOSS]
55636, 48/200, [WIN, LOSS, WIN, LOSS]
55636, 49/200, [LOSS, WIN, LOSS, WIN]
27599, 50/200, [TIE, TIE, TIE, TIE]
27599, 51/200, [LOSS, WIN, LOSS, WIN]
27599, 52/200, [LOSS, WIN, LOSS, WIN]
27599, 53/200, [TIE, TIE, TIE, TIE]
27599, 54/200, [LOSS, WIN, LOSS, WIN]
27599, 55/200, [LOSS, WIN, LOSS, WIN]
27599, 56/200, [LOSS, WIN, LOSS, WIN]
27599, 57/200, [LOSS, WIN, LOSS, WIN]
27599, 58/200, [LOSS, WIN, LOSS, WIN]
27599, 59/200, [LOSS, WIN, LOSS, WIN]
44350, 60/200, [LOSS, WIN, LOSS, WIN]
44350, 61/200, [TIE, TIE, TIE, TIE]
44350, 62/200, [TIE, TIE, TIE, TIE]
44350, 63/200, [TIE, TIE, TIE, TIE]
44350, 64/200, [LOSS, WIN, LOSS, WIN]
44350, 65/200, [LOSS, WIN, LOSS, WIN]
44350, 66/200, [LOSS, WIN, LOSS, WIN]
44350, 67/200, [LOSS, WIN, LOSS, WIN]
44350, 68/200, [TIE, TIE, TIE, TIE]
44350, 69/200, [WIN, LOSS, WIN, LOSS]
87872, 70/200, [WIN, LOSS, WIN, LOSS]
87872, 71/200, [LOSS, WIN, LOSS, WIN]
87872, 72/200, [LOSS, WIN, LOSS, WIN]
87872, 73/200, [LOSS, WIN, LOSS, WIN]
87872, 74/200, [LOSS, WIN, LOSS, WIN]
87872, 75/200, [LOSS, WIN, LOSS, WIN]
87872, 76/200, [WIN, LOSS, WIN, LOSS]
87872, 77/200, [LOSS, WIN, LOSS, WIN]
87872, 78/200, [WIN, LOSS, WIN, LOSS]
87872, 79/200, [WIN, LOSS, WIN, LOSS]
40815, 80/200, [LOSS, WIN, LOSS, WIN]
40815, 81/200, [WIN, LOSS, WIN, LOSS]
40815, 82/200, [TIE, TIE, TIE, TIE]
40815, 83/200, [LOSS, WIN, LOSS, WIN]
40815, 84/200, [LOSS, WIN, LOSS, WIN]
40815, 85/200, [WIN, LOSS, WIN, LOSS]
40815, 86/200, [TIE, TIE, TIE, TIE]
40815, 87/200, [LOSS, WIN, LOSS, WIN]
40815, 88/200, [WIN, LOSS, WIN, LOSS]
40815, 89/200, [WIN, LOSS, WIN, LOSS]
11772, 90/200, [TIE, TIE, TIE, TIE]
11772, 91/200, [WIN, LOSS, WIN, LOSS]
11772, 92/200, [WIN, LOSS, WIN, LOSS]
11772, 93/200, [LOSS, WIN, LOSS, WIN]
11772, 94/200, [TIE, TIE, TIE, TIE]
11772, 95/200, [TIE, TIE, TIE, TIE]
11772, 96/200, [WIN, LOSS, WIN, LOSS]
11772, 97/200, [TIE, TIE, TIE, TIE]
11772, 98/200, [TIE, TIE, TIE, TIE]
11772, 99/200, [TIE, TIE, TIE, TIE]
58367, 100/200, [TIE, TIE, TIE, TIE]
58367, 101/200, [LOSS, WIN, LOSS, WIN]
58367, 102/200, [WIN, LOSS, WIN, LOSS]
58367, 103/200, [LOSS, WIN, LOSS, WIN]
58367, 104/200, [LOSS, WIN, LOSS, WIN]
58367, 105/200, [TIE, TIE, TIE, TIE]
58367, 106/200, [LOSS, WIN, LOSS, WIN]
58367, 107/200, [WIN, LOSS, WIN, LOSS]
58367, 108/200, [WIN, LOSS, WIN, LOSS]
58367, 109/200, [WIN, LOSS, WIN, LOSS]
17546, 110/200, [LOSS, WIN, LOSS, WIN]
17546, 111/200, [LOSS, WIN, LOSS, WIN]
17546, 112/200, [LOSS, WIN, LOSS, WIN]
17546, 113/200, [LOSS, WIN, LOSS, WIN]
17546, 114/200, [WIN, LOSS, WIN, LOSS]
17546, 115/200, [LOSS, WIN, LOSS, WIN]
17546, 116/200, [LOSS, WIN, LOSS, WIN]
17546, 117/200, [LOSS, WIN, LOSS, WIN]
17546, 118/200, [LOSS, WIN, LOSS, WIN]
17546, 119/200, [TIE, TIE, TIE, TIE]
75375, 120/200, [TIE, TIE, TIE, TIE]
75375, 121/200, [LOSS, WIN, LOSS, WIN]
75375, 122/200, [TIE, TIE, TIE, TIE]
75375, 123/200, [LOSS, WIN, LOSS, WIN]
75375, 124/200, [TIE, TIE, TIE, TIE]
75375, 125/200, [TIE, TIE, TIE, TIE]
75375, 126/200, [LOSS, WIN, LOSS, WIN]
75375, 127/200, [TIE, TIE, TIE, TIE]
75375, 128/200, [TIE, TIE, TIE, TIE]
75375, 129/200, [LOSS, WIN, LOSS, WIN]
75772, 130/200, [LOSS, WIN, LOSS, WIN]
75772, 131/200, [TIE, TIE, TIE, TIE]
75772, 132/200, [TIE, TIE, TIE, TIE]
75772, 133/200, [WIN, LOSS, WIN, LOSS]
75772, 134/200, [LOSS, WIN, LOSS, WIN]
75772, 135/200, [TIE, TIE, TIE, TIE]
75772, 136/200, [LOSS, WIN, LOSS, WIN]
75772, 137/200, [TIE, TIE, TIE, TIE]
75772, 138/200, [TIE, TIE, TIE, TIE]
75772, 139/200, [LOSS, WIN, LOSS, WIN]
58237, 140/200, [TIE, TIE, TIE, TIE]
58237, 141/200, [TIE, TIE, TIE, TIE]
58237, 142/200, [LOSS, WIN, LOSS, WIN]
58237, 143/200, [LOSS, WIN, LOSS, WIN]
58237, 144/200, [LOSS, WIN, LOSS, WIN]
58237, 145/200, [TIE, TIE, TIE, TIE]
58237, 146/200, [LOSS, WIN, LOSS, WIN]
58237, 147/200, [LOSS, WIN, LOSS, WIN]
58237, 148/200, [WIN, LOSS, WIN, LOSS]
58237, 149/200, [TIE, TIE, TIE, TIE]
30464, 150/200, [TIE, TIE, TIE, TIE]
30464, 151/200, [TIE, TIE, TIE, TIE]
30464, 152/200, [TIE, TIE, TIE, TIE]
30464, 153/200, [TIE, TIE, TIE, TIE]
30464, 154/200, [LOSS, WIN, LOSS, WIN]
30464, 155/200, [TIE, TIE, TIE, TIE]
30464, 156/200, [WIN, LOSS, WIN, LOSS]
30464, 157/200, [WIN, LOSS, WIN, LOSS]
30464, 158/200, [TIE, TIE, TIE, TIE]
30464, 159/200, [LOSS, WIN, LOSS, WIN]
27180, 160/200, [WIN, LOSS, WIN, LOSS]
27180, 161/200, [LOSS, WIN, LOSS, WIN]
27180, 162/200, [WIN, LOSS, WIN, LOSS]
27180, 163/200, [LOSS, WIN, LOSS, WIN]
27180, 164/200, [TIE, TIE, TIE, TIE]
27180, 165/200, [LOSS, WIN, LOSS, WIN]
27180, 166/200, [LOSS, WIN, LOSS, WIN]
27180, 167/200, [LOSS, WIN, LOSS, WIN]
27180, 168/200, [TIE, TIE, TIE, TIE]
27180, 169/200, [WIN, LOSS, WIN, LOSS]
23643, 170/200, [LOSS, WIN, LOSS, WIN]
23643, 171/200, [LOSS, WIN, LOSS, WIN]
23643, 172/200, [WIN, LOSS, WIN, LOSS]
23643, 173/200, [WIN, LOSS, WIN, LOSS]
23643, 174/200, [LOSS, WIN, LOSS, WIN]
23643, 175/200, [LOSS, WIN, LOSS, WIN]
23643, 176/200, [WIN, LOSS, WIN, LOSS]
23643, 177/200, [WIN, LOSS, WIN, LOSS]
23643, 178/200, [WIN, LOSS, WIN, LOSS]
23643, 179/200, [WIN, LOSS, WIN, LOSS]
67054, 180/200, [LOSS, WIN, LOSS, WIN]
67054, 181/200, [WIN, LOSS, WIN, LOSS]
67054, 182/200, [LOSS, WIN, LOSS, WIN]
67054, 183/200, [LOSS, WIN, LOSS, WIN]
67054, 184/200, [WIN, LOSS, WIN, LOSS]
67054, 185/200, [WIN, LOSS, WIN, LOSS]
67054, 186/200, [LOSS, WIN, LOSS, WIN]
67054, 187/200, [WIN, LOSS, WIN, LOSS]
67054, 188/200, [TIE, TIE, TIE, TIE]
67054, 189/200, [WIN, LOSS, WIN, LOSS]
19508, 190/200, [LOSS, WIN, LOSS, WIN]
19508, 191/200, [TIE, TIE, TIE, TIE]
19508, 192/200, [LOSS, WIN, LOSS, WIN]
19508, 193/200, [LOSS, WIN, LOSS, WIN]
19508, 194/200, [WIN, LOSS, WIN, LOSS]
19508, 195/200, [LOSS, WIN, LOSS, WIN]
19508, 196/200, [TIE, TIE, TIE, TIE]
19508, 197/200, [LOSS, WIN, LOSS, WIN]
19508, 198/200, [LOSS, WIN, LOSS, WIN]
19508, 199/200, [WIN, LOSS, WIN, LOSS]
N 	Win 	Tie 	Loss 	Player
200	28.0%	27.0%	45.0%	players.SimplePlayer
200	45.0%	27.0%	28.0%	players.rhea.RHEAPlayer
200	28.0%	27.0%	45.0%	players.SimplePlayer
200	45.0%	27.0%	28.0%	players.rhea.RHEAPlayer
